Manufacturer,LCSC Part #,Description,value,tolerance,type,voltage,min_value,max_value,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),basic-extended,unit,Comment,Category,code,value_in_ohms,dielectric,value_in_farads
Samsung Electro-Mechanics,C170130,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.5pF 50V 0603 RoHS,2.5,10,Capacitor,50,2.25e-12,2.75e-12,0603,,,CL10C2R5CB8NNNC,,,Extended Part,pF,2.5pF(2R5) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,2.5e-12
Samsung Electro-Mechanics,C170132,Multilayer Ceramic Capacitors MLCC - SMD/SMT 22pF 50V 0603 RoHS,22,5,Capacitor,50,2.0899999999999997e-11,2.31e-11,0603,,,CL10C220JB81PNC,,,Extended Part,pF,22pF(220) ±5% 50V  汽车级 C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,2.1999999999999998e-11
Samsung Electro-Mechanics,C170139,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10pF 50V 0603 RoHS,10,10,Capacitor,50,9e-12,1.1e-11,0603,,,CL10C100DB8NNNC,,,Extended Part,pF,10pF(10R) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1e-11
Samsung Electro-Mechanics,C170141,Multilayer Ceramic Capacitors MLCC - SMD/SMT 9pF 50V 0603 RoHS,9,10,Capacitor,50,8.1e-12,9.900000000000001e-12,0603,,,CL10C090DB8NNNC,,,Extended Part,pF,9pF(090) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,9e-12
Samsung Electro-Mechanics,C170146,Multilayer Ceramic Capacitors MLCC - SMD/SMT 270pF 50V 0603 RoHS,270,10,Capacitor,50,2.43e-10,2.97e-10,0603,,,CL10B271KB8NNNC,,,Extended Part,pF,270pF(271) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,2.7e-10
Samsung Electro-Mechanics,C170148,Multilayer Ceramic Capacitors MLCC - SMD/SMT 150pF 50V 0603 RoHS,150,10,Capacitor,50,1.35e-10,1.6500000000000002e-10,0603,,,CL10B151KB8NNNC,,,Extended Part,pF,150pF(151) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,1.5e-10
Samsung Electro-Mechanics,C170155,Multilayer Ceramic Capacitors MLCC - SMD/SMT 33pF 16V 01005 RoHS,33,5,Capacitor,16,3.135e-11,3.4650000000000004e-11,1005,,,CL02C330JO2ANNC,,,Extended Part,pF,33pF(330) ±5% 16V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,3.3e-11
Samsung Electro-Mechanics,C105225,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 RoHS,10,20,Capacitor,10,8e-06,1.1999999999999999e-05,0402,,,CL05A106MP5NUNC,,,Extended Part,uF,10uF(106) ±20% 10V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,9.999999999999999e-06
Samsung Electro-Mechanics,C170109,Multilayer Ceramic Capacitors MLCC - SMD/SMT 18pF 50V 0805 RoHS,18,5,Capacitor,50,1.7099999999999998e-11,1.89e-11,0805,,,CL21C180JBANNNC,,,Extended Part,pF,18pF(180) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.8e-11
Samsung Electro-Mechanics,C170110,Multilayer Ceramic Capacitors MLCC - SMD/SMT 12pF 50V 0805 RoHS,12,5,Capacitor,50,1.14e-11,1.26e-11,0805,,,CL21C120JBANNNC,,,Extended Part,pF,12pF(120) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.2e-11
Samsung Electro-Mechanics,C170111,Multilayer Ceramic Capacitors MLCC - SMD/SMT 8pF 50V 0805 RoHS,8,10,Capacitor,50,7.2e-12,8.800000000000001e-12,0805,,,CL21C080DBANNNC,,,Extended Part,pF,8pF(080) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,8e-12
Samsung Electro-Mechanics,C170112,Multilayer Ceramic Capacitors MLCC - SMD/SMT 7pF 50V 0805 RoHS,7,10,Capacitor,50,6.3e-12,7.7e-12,0805,,,CL21C070DBANNNC,,,Extended Part,pF,7pF(070) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,7e-12
Samsung Electro-Mechanics,C170125,Multilayer Ceramic Capacitors MLCC - SMD/SMT 9.1pF 50V 0603 RoHS,9.1,10,Capacitor,50,8.19e-12,1.0010000000000001e-11,0603,,,CL10C9R1DB8NNNC,,,Extended Part,pF,9.1pF(9R1) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,9.1e-12
Samsung Electro-Mechanics,C170126,Multilayer Ceramic Capacitors MLCC - SMD/SMT 8.2pF 50V 0603 RoHS,8.2,10,Capacitor,50,7.38e-12,9.02e-12,0603,,,CL10C8R2DB8NNNC,,,Extended Part,pF,8.2pF(8R2) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,8.2e-12
Samsung Electro-Mechanics,C170127,Multilayer Ceramic Capacitors MLCC - SMD/SMT 7.5pF 50V 0603 RoHS,7.5,10,Capacitor,50,6.75e-12,8.25e-12,0603,,,CL10C7R5DB8NNNC,,,Extended Part,pF,7.5pF(7R5) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,7.5e-12
Samsung Electro-Mechanics,C170128,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.8pF 50V 0603 RoHS,6.8,10,Capacitor,50,6.12e-12,7.48e-12,0603,,,CL10C6R8DB8NNNC,,,Extended Part,pF,6.8pF(6R8) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,6.799999999999999e-12
Samsung Electro-Mechanics,C170129,Multilayer Ceramic Capacitors MLCC - SMD/SMT 43pF 50V 0603 RoHS,43,5,Capacitor,50,4.085e-11,4.515e-11,0603,,,CL10C430JB8NNNC,,,Extended Part,pF,43pF(430) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,4.3e-11
Samsung Electro-Mechanics,C170142,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6pF 50V 0603 RoHS,6,10,Capacitor,50,5.4000000000000004e-12,6.600000000000001e-12,0603,,,CL10C060DB8NNNC,,,Extended Part,pF,6pF(060) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,6e-12
Samsung Electro-Mechanics,C170143,Multilayer Ceramic Capacitors MLCC - SMD/SMT 5.6nF 50V 0603 RoHS,5.6,10,Capacitor,50,5.04e-09,6.16e-09,0603,,,CL10B562KB8NNNC,,,Extended Part,nF,5.6nF(562) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,5.6e-09
Samsung Electro-Mechanics,C170144,Multilayer Ceramic Capacitors MLCC - SMD/SMT 510pF 50V 0603 RoHS,510,10,Capacitor,50,4.59e-10,5.61e-10,0603,,,CL10B511KB8NNNC,,,Extended Part,pF,510pF(511) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,5.1e-10
Samsung Electro-Mechanics,C170145,Multilayer Ceramic Capacitors MLCC - SMD/SMT 3.9nF 50V 0603 RoHS,3.9,10,Capacitor,50,3.51e-09,4.290000000000001e-09,0603,,,CL10B392KB8NNNC,,,Extended Part,nF,3.9nF(392) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,3.9e-09
Samsung Electro-Mechanics,C170106,Multilayer Ceramic Capacitors MLCC - SMD/SMT 3.3pF 50V 0805 RoHS,3.3,10,Capacitor,50,2.9699999999999997e-12,3.63e-12,0805,,,CL21C3R3CBANNNC,,,Extended Part,pF,3.3pF(3R3) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,3.2999999999999997e-12
Samsung Electro-Mechanics,C170108,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.5pF 50V 0805 RoHS,1.5,10,Capacitor,50,1.3500000000000001e-12,1.6500000000000002e-12,0805,,,CL21C1R5CBANNNC,,,Extended Part,pF,1.5pF(1R5) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.5e-12
Samsung Electro-Mechanics,C170113,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6pF 50V 0805 RoHS,6,10,Capacitor,50,5.4000000000000004e-12,6.600000000000001e-12,0805,,,CL21C060DBANNNC,,,Extended Part,pF,6pF(060) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,6e-12
Samsung Electro-Mechanics,C170115,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4pF 50V 0805 RoHS,4,10,Capacitor,50,3.6e-12,4.400000000000001e-12,0805,,,CL21C040CBANNNC,,,Extended Part,pF,4pF(040) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,4e-12
Samsung Electro-Mechanics,C170122,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.2nF 50V 0805 RoHS,1.2,10,Capacitor,50,1.08e-09,1.3200000000000002e-09,0805,,,CL21B122KBANNNC,,,Extended Part,nF,1.2nF(122) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,1.2e-09
Samsung Electro-Mechanics,C170124,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.75pF 50V 0603 RoHS,0.75,10,Capacitor,50,6.750000000000001e-13,8.250000000000001e-13,0603,,,CL10CR75CB8NNNC,,,Extended Part,pF,0.75pF(R75) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,7.5e-13
Samsung Electro-Mechanics,C170133,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.8pF 50V 0603 RoHS,1.8,10,Capacitor,50,1.62e-12,1.98e-12,0603,,,CL10C1R8CB8NNNC,,,Extended Part,pF,1.8pF(1R8) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.8e-12
Samsung Electro-Mechanics,C170138,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100pF 50V 0603 RoHS,100,10,Capacitor,50,9e-11,1.1000000000000001e-10,0603,,,CL10C101KB8NNNC,,,Extended Part,pF,100pF(101) ±10% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1e-10
Samsung Electro-Mechanics,C170140,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.3pF 50V 0603 RoHS,0.3,10,Capacitor,50,2.7e-13,3.3e-13,0603,,,CL10C0R3CB8NNNC,,,Extended Part,pF,0.3pF(0R3) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,3e-13
Samsung Electro-Mechanics,C170147,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2nF 50V 0603 RoHS,2,10,Capacitor,50,1.8000000000000002e-09,2.2000000000000003e-09,0603,,,CL10B202KB8NNNC,,,Extended Part,nF,2nF(202) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,2e-09
Samsung Electro-Mechanics,C170149,Multilayer Ceramic Capacitors MLCC - SMD/SMT 470nF 50V 0603 RoHS,470,10,Capacitor,50,4.2300000000000007e-07,5.170000000000001e-07,0603,,,CL10A474KB8NNNC,,,Extended Part,nF,470nF(474) ±10% 50V X5R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,4.7000000000000005e-07
Samsung Electro-Mechanics,C170156,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10pF 16V 01005 RoHS,10,5,Capacitor,16,9.5e-12,1.05e-11,1005,,,CL02C100JO2ANNC,,,Extended Part,pF,10pF(100) ±5% 16V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1e-11
Samsung Electro-Mechanics,C170102,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF 25V 1206 RoHS,2.2,10,Capacitor,25,1.98e-06,2.42e-06,1206,,,CL31B225KAHNNNE,,,Extended Part,uF,2.2uF(225) ±10% 25V X7R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,2.2e-06
Samsung Electro-Mechanics,C170103,Multilayer Ceramic Capacitors MLCC - SMD/SMT 82pF 50V 0805 RoHS,82,5,Capacitor,50,7.79e-11,8.61e-11,0805,,,CL21C820JBANNNC,,,Extended Part,pF,82pF(820) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,8.2e-11
Samsung Electro-Mechanics,C170104,Multilayer Ceramic Capacitors MLCC - SMD/SMT 62pF 50V 0805 RoHS,62,5,Capacitor,50,5.889999999999999e-11,6.51e-11,0805,,,CL21C620JBANNNC,,,Extended Part,pF,62pF(620) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,6.199999999999999e-11
Samsung Electro-Mechanics,C170117,Multilayer Ceramic Capacitors MLCC - SMD/SMT 8.2nF 50V 0805 RoHS,8.2,10,Capacitor,50,7.379999999999999e-09,9.019999999999999e-09,0805,,,CL21B822KBANNNC,,,Extended Part,nF,8.2nF(822) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,8.199999999999999e-09
Samsung Electro-Mechanics,C170118,Multilayer Ceramic Capacitors MLCC - SMD/SMT 390pF 50V 0805 RoHS,390,10,Capacitor,50,3.5100000000000003e-10,4.29e-10,0805,,,CL21B391KBANNNC,,,Extended Part,pF,390pF(391) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,3.9e-10
Samsung Electro-Mechanics,C170119,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.7nF 50V 0805 RoHS,2.7,10,Capacitor,50,2.43e-09,2.9700000000000003e-09,0805,,,CL21B272KBANNNC,,,Extended Part,nF,2.7nF(272) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,2.7e-09
Samsung Electro-Mechanics,C170120,Multilayer Ceramic Capacitors MLCC - SMD/SMT 270pF 50V 0805 RoHS,270,10,Capacitor,50,2.43e-10,2.97e-10,0805,,,CL21B271KBANNNC,,,Extended Part,pF,270pF(271) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,2.7e-10
Samsung Electro-Mechanics,C170134,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.2pF 50V 0603 RoHS,1.2,10,Capacitor,50,1.08e-12,1.32e-12,0603,,,CL10C1R2CB8NNNC,,,Extended Part,pF,1.2pF(1R2) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.2e-12
Samsung Electro-Mechanics,C170135,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16pF 50V 0603 RoHS,16,5,Capacitor,50,1.52e-11,1.68e-11,0603,,,CL10C160JB8NNNC,,,Extended Part,pF,16pF(160) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.6e-11
Samsung Electro-Mechanics,C170137,Multilayer Ceramic Capacitors MLCC - SMD/SMT 13pF 50V 0603 RoHS,13,5,Capacitor,50,1.235e-11,1.3650000000000001e-11,0603,,,CL10C130JB8NNNC,,,Extended Part,pF,13pF(130) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.3e-11
Samsung Electro-Mechanics,C170150,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.5pF 50V 0402 RoHS,1.5,10,Capacitor,50,1.3500000000000001e-12,1.6500000000000002e-12,0402,,,CL05C1R5CB5NNNC,,,Extended Part,pF,1.5pF(1R5) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,1.5e-12
Samsung Electro-Mechanics,C170151,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF 16V 0402 RoHS,2.2,10,Capacitor,16,1.98e-06,2.42e-06,0402,,,CL05A225KO5NQNC,,,Extended Part,uF,2.2uF(225) ±10% 16V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,2.2e-06
Samsung Electro-Mechanics,C170152,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF 6.3V 0201 RoHS,1,20,Capacitor,3,8e-07,1.2e-06,0201,,,CL03A105MQ3CSNC,,,Extended Part,uF,1uF(105) ±20% 6.3V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,1e-06
Samsung Electro-Mechanics,C170153,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF 10V 0201 RoHS,1,20,Capacitor,10,8e-07,1.2e-06,0201,,,CL03A105MP3NSNC,,,Extended Part,uF,1uF(105) ±20% 10V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,1e-06
Samsung Electro-Mechanics,C170154,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 6.3V 0201 RoHS,100,10,Capacitor,3,9.000000000000001e-08,1.1000000000000002e-07,0201,,,CL03A104KQ3NNNH,,,Extended Part,nF,100nF(104) ±10% 6.3V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,1.0000000000000001e-07
Samsung Electro-Mechanics,C111774,Multilayer Ceramic Capacitors MLCC - SMD/SMT 51pF 50V 0402 RoHS,51,5,Capacitor,50,4.845e-11,5.355e-11,0402,,,CL05C510JB5NNNC,,,Extended Part,pF,51pF(510) ±5% 50V  C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,5.1e-11
Samsung Electro-Mechanics,C111805,Multilayer Ceramic Capacitors MLCC - SMD/SMT 9pF 50V 0402 RoHS,9,10,Capacitor,50,8.1e-12,9.900000000000001e-12,0402,,,CL05C090DB5NNNC,,,Extended Part,pF,9pF(090) ±0.5pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,9e-12
Samsung Electro-Mechanics,C50208,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.8nF 50V 0805 RoHS,6.8,10,Capacitor,50,6.12e-09,7.480000000000001e-09,0805,,,CL21B682KBANNNC,,,Extended Part,nF,6.8nF(682) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,6.8000000000000005e-09
Samsung Electro-Mechanics,C40189,Multilayer Ceramic Capacitors MLCC - SMD/SMT 3pF 50V 0603 RoHS,3,10,Capacitor,50,2.7000000000000002e-12,3.3000000000000005e-12,0603,,,CL10C030CB8NNNC,,,Extended Part,pF,3pF(030) ±0.25pF 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,3e-12
Samsung Electro-Mechanics,C50206,Multilayer Ceramic Capacitors MLCC - SMD/SMT 51pF 50V 0805 RoHS,51,5,Capacitor,50,4.845e-11,5.355e-11,0805,,,CL21C510JBANNNC,,,Extended Part,pF,51pF(510) ±5% 50V C0G,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,C0G,5.1e-11
Samsung Electro-Mechanics,C47129,Multilayer Ceramic Capacitors MLCC - SMD/SMT 220nF 25V 0402 RoHS,220,10,Capacitor,25,1.9800000000000003e-07,2.42e-07,0402,,,CL05A224KA5NNNC,,,Extended Part,nF,220nF(224) ±10% 25V X5R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,2.2e-07
Samsung Electro-Mechanics,C47971,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 16V 1206 RoHS,10,10,Capacitor,16,9e-06,1.1e-05,1206,,,CL31B106KOHNNNE,,,Extended Part,uF,10uF(106) ±10% 16V X7R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,9.999999999999999e-06
Samsung Electro-Mechanics,C49066,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100uF 6.3V 1210 RoHS,100,20,Capacitor,3,7.999999999999999e-05,0.00011999999999999999,1210,,,CL32A107MQVNNNE,,,Extended Part,uF,100uF(107) ±20% 6.3V X5R 重复容值,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X5R,9.999999999999999e-05
Samsung Electro-Mechanics,C50131,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7nF 50V 0805 RoHS,4.7,10,Capacitor,50,4.2300000000000005e-09,5.170000000000001e-09,0805,,,CL21B472KBANNNC,,,Extended Part,nF,4.7nF(472) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,4.700000000000001e-09
Samsung Electro-Mechanics,C47783,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 50V 1210 RoHS,4.7,10,Capacitor,50,4.23e-06,5.1700000000000005e-06,1210,,,CL32B475KBJNNNE,,,Extended Part,uF,4.7uF(475) ±10% 50V X7R,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,,X7R,4.7e-06
